Reference, Quantity, Value, Footprint, Datasheet, Description, DigiKey Part Number, DigiKey Price/Stock, Manufacturer_Name, Manufacturer_Part_Number
F1 F2 F3 F4 ,4,"Fuse","Capacitor_THT:C_Disc_D7.5mm_W2.5mm_P5.00mm","~"
IC2 IC1 IC4 IC3 ,4,"TB6643KQ,8","base-shield:HSIP7-P-2.54A","https://toshiba.semicon-storage.com/info/docget.jsp?did=11271&prodName=TB6643KQ","Bi-CMOS Integrated Circuit Silicon Monolithic","TB6643KQ8-ND","https://www.digikey.co.uk/product-detail/en/toshiba-semiconductor-and-storage/TB6643KQ,8/TB6643KQ8-ND/3671295","Toshiba","TB6643KQ,8"
J1 ,1,"Conn_02x16_Odd_Even","Connector_PinSocket_2.54mm:PinSocket_2x16_P2.54mm_Vertical","~"
J11 J8 J15 J14 ,4,"Conn_02x03_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Horizontal","~"
J2 J6 J3 ,3,"Conn_01x08","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical","~"
J4 J5 ,2,"Conn_01x06","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical","~"
J9 J10 J7 J13 J12 ,5,"Conn_01x02","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","~"
P1 ,1,"Digital","Socket_Arduino_Mega:Socket_Strip_Arduino_2x18",""
P2 ,1,"Power","Socket_Arduino_Mega:Socket_Strip_Arduino_1x08",""
P3 P4 ,2,"Analog","Socket_Arduino_Mega:Socket_Strip_Arduino_1x08",""
P5 ,1,"PWM","Socket_Arduino_Mega:Socket_Strip_Arduino_1x10",""
P6 ,1,"PWM","Socket_Arduino_Mega:Socket_Strip_Arduino_1x08",""
P7 ,1,"Communication","Socket_Arduino_Mega:Socket_Strip_Arduino_1x08",""
P8 P10 P11 P13 ,4,"CONN_01X01","Socket_Arduino_Mega:Arduino_1pin",""